bacteria,eps,adesao,estresse,manosidase,fosfolipase,acido_folico,bacteriocina,sais_biliares,betagalactosidase,tolerancia_gastro,metabolismo_carbono,total_funcoes
Bifidobacterium saguini,1,1,1,0,1,0,0,1,1,0,0,6
Bifidobacterium saguinibicoloris,0,1,1,0,1,0,0,1,1,0,0,5
Bifidobacterium saimiriisciurei,1,1,1,0,1,0,0,1,0,0,0,5
Bifidobacterium samirii,1,1,1,1,1,0,0,1,1,0,0,7
Bifidobacterium santillanense,1,1,1,1,1,0,0,1,1,0,0,7
Bifidobacterium scaligerum,0,1,1,1,1,0,0,1,1,0,0,6
Bifidobacterium scardovii,1,1,1,1,1,0,0,1,1,0,0,7
Bifidobacterium simiarum,1,1,1,0,1,0,0,1,0,0,0,5
Bifidobacterium simiiventris,1,1,1,1,1,0,0,1,1,0,0,7
Bifidobacterium stellenboschense,1,1,1,1,1,0,0,1,1,0,0,7
Bifidobacterium subtile,1,1,1,0,1,0,0,1,0,0,0,5
Bifidobacterium thermacidophilum,1,1,1,0,1,0,0,1,1,0,0,6
Bifidobacterium thermophilum,1,1,1,0,1,0,0,1,1,0,0,6
Bifidobacterium tibiigranuli,1,1,1,0,1,0,0,1,0,0,0,5
Bifidobacterium tissieri,1,1,1,0,1,0,0,1,1,0,0,6
Bifidobacterium tsurumiense,1,1,1,0,1,0,0,1,1,0,0,6
Bifidobacterium vansinderenii,1,1,1,0,1,0,0,1,1,0,0,6
Bifidobacterium vespertilionis,1,1,1,0,1,0,0,1,1,0,0,6
Bifidobacterium xylocopae,1,1,1,0,1,0,0,1,1,0,0,6
Lacticaseibacillus absianus,1,1,1,0,0,0,0,0,0,1,1,5
Lacticaseibacillus brantae,1,1,1,0,0,0,0,0,0,1,1,5
Lacticaseibacillus camelliae,1,1,1,0,0,0,0,0,0,1,1,5
Lacticaseibacillus casei,1,1,1,0,0,0,1,1,0,1,1,7
Lacticaseibacillus chiayiensis,1,1,1,0,0,0,1,1,0,1,1,7
Lacticaseibacillus daqingensis,1,1,1,0,0,0,1,0,0,1,1,6
Lacticaseibacillus hegangensis,1,1,1,0,0,0,0,0,0,1,1,5
Lacticaseibacillus hulanensis,1,1,1,0,0,0,0,0,0,1,1,5
Lacticaseibacillus jixianensis,1,1,1,0,0,0,0,0,0,1,1,5
Lacticaseibacillus kribbianus,1,1,1,0,0,0,0,0,0,1,1,5
Lacticaseibacillus mingshuiensis,1,1,1,0,0,0,0,0,0,1,1,5
Lacticaseibacillus nasuensis,1,1,1,0,0,0,0,0,0,1,1,5
Lacticaseibacillus pantheris,1,1,1,0,0,0,0,0,0,1,1,5
Lacticaseibacillus paracasei,1,1,1,0,0,0,1,1,0,1,1,7
Lacticaseibacillus parakribbianus,1,1,1,0,0,0,0,0,0,1,1,5
Lacticaseibacillus rhamnosus,1,1,1,0,0,0,1,1,0,1,1,7
Lacticaseibacillus saniviri,1,1,1,0,0,0,0,0,0,1,1,5
Lacticaseibacillus sharpeae,1,1,1,0,0,0,0,0,0,1,1,5
Lacticaseibacillus songhuajiangensis,1,1,1,0,0,0,0,0,0,1,1,5
Lacticaseibacillus suibinensis,1,1,1,0,0,0,0,0,0,1,1,5
Lacticaseibacillus suilingensis,1,1,1,0,0,0,0,0,0,1,1,5
Lacticaseibacillus thailandensis,1,1,1,0,0,0,0,0,0,1,1,5
Lacticaseibacillus yichunensis,1,1,1,0,0,0,0,0,0,1,1,5
Lacticaseibacillus zeae,1,1,1,0,0,0,1,1,0,1,1,7
Lacticaseibacillus zhaodongensis,1,1,1,0,0,0,0,0,0,1,1,5
Lactobacillus acetotolerans,1,1,1,0,0,0,0,0,0,1,1,5
Lactobacillus acidophilus,1,1,1,0,0,0,1,0,0,1,1,6
Lactobacillus agrestimuris,1,1,1,0,0,0,1,0,0,1,1,6
Lactobacillus amylolyticus,1,1,1,0,0,0,0,0,0,1,1,5
Lactobacillus amylovorus,1,1,1,0,0,0,0,0,0,1,1,5
Lactobacillus apis,1,1,1,0,0,0,0,0,0,1,1,5
Lactobacillus bombicola,1,1,1,0,0,0,0,0,0,1,1,5
Lactobacillus colini,1,1,1,0,0,0,0,0,0,1,1,5
Lactobacillus corticis,1,1,1,0,0,0,0,0,0,1,1,5
Lactobacillus crispatus,1,1,1,0,0,0,0,0,0,1,1,5
Lactobacillus delbrueckii,1,1,1,0,0,0,0,0,0,1,1,5
Lactobacillus equicursoris,1,1,1,0,0,0,0,0,0,1,1,5
Lactobacillus gallinarum,1,1,1,0,0,0,0,0,0,1,1,5
Lactobacillus gasseri,1,1,1,0,0,0,0,0,0,1,1,5
Lactobacillus gigeriorum,1,1,1,0,0,0,0,0,0,1,1,5
Lactobacillus hamsteri,1,1,1,0,0,0,0,0,0,1,1,5
Lactobacillus helsingborgensis,1,1,1,0,0,0,0,0,0,1,1,5
Lactobacillus helveticus,1,1,1,0,0,0,0,0,0,1,1,5
Lactobacillus hominis,1,1,1,0,0,0,0,0,0,1,1,5
Lactobacillus huangpiensis,1,1,1,0,0,0,0,0,0,1,1,5
Lactobacillus iners,1,1,1,0,0,0,0,0,0,1,1,5
Lactobacillus intestinalis,1,1,1,0,0,0,1,0,0,1,1,6
Lactobacillus jensenii,1,1,1,0,0,0,0,0,0,1,1,5
Lactobacillus johnsonii,1,1,1,0,0,0,0,0,0,1,1,5
